Hour,ASSAULT,CRIMINAL VIOLATIONS,OFFENSE INVOLVING CHILDREN,SEX OFFENSE,SUBSTANCE ABUSE,THEFT,WEAPONS VIOLATION
0,2837,1715,291,281,720,3640,181
1,2711,1336,29,140,380,2351,128
2,2409,1129,14,166,257,2062,76
3,2007,1048,13,131,165,1858,65
4,1429,799,14,87,83,1464,33
5,1098,717,13,68,40,1502,21
6,991,723,37,72,116,1845,33
7,1352,1008,53,64,227,2495,37
8,2075,1204,118,91,290,3354,48
9,2340,1299,145,103,398,3987,70
10,2682,1240,91,114,1084,3791,95
11,2971,1231,63,131,1510,3893,133
12,3087,1460,131,190,1353,5243,146
13,3000,1212,73,111,1332,4541,131
14,3096,1394,103,116,1187,4849,124
15,3800,1574,117,99,1049,5309,160
16,3675,1631,149,108,983,5092,127
17,3560,1829,144,116,945,5277,155
18,3548,2084,156,113,1577,5546,250
19,3463,2056,114,153,2344,4889,287
20,3551,2112,87,206,1960,4716,247
21,3529,2144,58,261,1751,4489,314
22,3521,2290,72,324,1496,4386,286
23,3162,1807,46,234,1112,3436,224
