Day,ASSAULT,CRIMINAL VIOLATIONS,OFFENSE INVOLVING CHILDREN,SEX OFFENSE,SUBSTANCE ABUSE,THEFT,WEAPONS VIOLATION
1,233,106,50,31,43,217,22
2,150,80,4,13,85,223,7
3,162,90,6,16,74,214,5
4,145,56,3,11,62,157,5
5,125,50,5,7,42,201,6
6,99,53,4,9,52,185,2
7,101,49,4,3,54,167,4
8,93,61,1,3,44,166,6
9,128,65,3,5,71,199,5
10,153,49,6,12,77,236,9
11,165,80,7,10,70,225,9
12,126,80,4,4,64,232,1
13,139,60,1,9,77,230,4
14,129,75,8,7,97,249,6
15,132,81,7,10,124,282,14
16,156,95,9,11,77,244,8
17,194,93,4,17,85,249,11
18,185,111,6,8,58,241,6
19,154,92,7,5,91,253,16
20,183,103,5,7,65,300,7
21,168,102,4,16,63,262,10
22,166,81,7,12,87,273,10
23,198,127,4,14,88,252,8
24,167,105,5,26,84,257,12
25,173,90,5,14,55,212,7
26,156,79,6,2,63,249,2
27,145,76,8,9,89,206,10
28,138,77,1,14,80,225,6
29,165,66,6,16,94,242,9
30,156,73,9,8,100,236,13
31,167,89,5,17,74,194,10
32,130,55,9,15,23,159,1
33,119,47,5,7,44,132,3
34,132,46,4,8,45,167,8
35,152,67,5,5,72,174,7
36,145,60,5,3,71,174,4
37,155,93,9,7,105,200,8
38,162,109,6,19,93,168,7
39,153,83,5,18,88,178,6
40,132,67,4,1,78,196,11
41,147,86,7,11,76,178,8
42,140,79,4,5,83,194,1
43,153,74,4,5,77,186,7
44,135,69,6,9,97,175,9
45,155,83,10,15,59,189,6
46,146,60,5,11,71,155,4
47,111,71,10,3,75,154,11
48,154,54,6,22,67,196,11
49,116,53,4,2,56,171,6
50,106,53,3,6,48,162,7
51,138,76,8,14,86,214,1
52,164,85,4,11,86,204,10
53,186,68,8,7,68,156,11
54,141,66,3,4,46,203,7
55,154,76,6,8,73,205,10
56,154,57,7,7,65,159,4
57,118,62,7,5,74,153,7
58,149,65,10,3,81,204,5
59,148,77,9,7,61,162,9
60,173,86,10,13,86,201,8
61,147,71,11,6,97,225,9
62,159,66,5,5,76,188,5
63,159,55,5,8,67,167,6
64,154,70,6,8,78,166,9
65,154,82,14,5,93,218,12
66,189,88,11,12,80,194,8
67,175,81,11,7,89,190,9
68,194,78,3,12,71,212,10
69,184,98,6,13,82,210,11
70,178,92,6,15,68,234,9
71,208,89,4,10,75,223,9
72,203,108,10,5,85,256,20
73,221,127,6,13,85,231,11
74,237,111,7,7,58,231,15
75,210,97,7,8,81,235,13
76,186,99,3,6,94,206,5
77,182,75,4,12,79,205,12
78,196,119,5,8,69,227,9
79,197,126,4,13,79,224,16
80,172,104,4,13,79,205,19
81,181,106,6,3,65,206,9
82,156,62,6,7,54,195,6
83,139,71,5,4,92,206,10
84,180,101,3,11,87,203,11
85,175,102,5,15,77,205,9
86,159,101,11,9,82,230,9
87,175,87,8,10,71,202,12
88,168,88,4,3,78,186,11
89,169,96,1,4,76,227,15
90,190,85,6,8,54,206,13
91,222,99,11,11,73,273,13
92,201,95,5,17,87,250,9
93,173,104,4,10,83,221,11
94,185,94,4,10,74,203,10
95,219,99,9,5,56,195,5
96,159,93,5,5,74,216,13
97,108,78,3,5,72,217,8
98,136,99,3,7,77,228,6
99,143,102,4,8,64,195,5
100,145,127,10,4,61,214,12
101,193,118,7,5,72,203,12
102,228,123,8,7,67,215,16
103,188,96,9,5,60,228,8
104,207,117,6,8,71,227,12
105,187,108,2,9,58,241,12
106,180,108,5,11,73,201,8
107,195,107,6,12,80,256,11
108,201,115,8,14,76,248,8
109,201,100,4,6,66,229,9
110,180,78,7,7,84,254,9
111,152,76,4,5,74,229,14
112,177,92,10,7,62,219,11
113,184,95,3,11,52,235,13
114,203,106,4,6,63,260,6
115,175,111,6,8,63,212,8
116,225,112,6,5,54,215,9
117,202,107,6,4,48,243,5
118,197,98,5,12,51,232,8
119,188,100,6,12,65,257,12
120,156,84,4,16,56,228,8
121,221,112,9,21,64,283,7
122,222,89,4,10,46,221,6
123,262,124,3,7,32,229,7
124,241,97,5,8,61,232,11
125,173,89,3,8,60,227,6
126,171,97,9,12,65,239,7
127,247,97,8,17,75,249,9
128,221,101,12,13,59,272,5
129,194,102,6,14,65,209,8
130,205,122,8,8,56,234,13
131,209,90,1,5,72,241,7
132,194,94,4,10,68,247,7
133,196,98,2,6,64,264,7
134,182,94,6,6,71,262,15
135,237,91,5,21,74,253,10
136,274,132,9,22,50,270,11
137,263,141,6,9,70,228,15
138,208,98,8,9,61,226,14
139,184,89,3,8,64,230,9
140,194,100,,14,63,236,6
141,189,94,4,18,59,233,12
142,207,104,8,11,74,288,16
143,205,130,2,13,58,268,11
144,215,101,9,10,51,218,11
145,226,96,7,9,54,214,11
146,224,100,3,11,63,243,9
147,193,98,4,5,68,237,8
148,227,100,6,12,53,274,13
149,209,73,7,12,83,303,11
150,191,105,4,13,43,261,10
151,182,102,5,8,50,203,12
152,211,103,13,13,69,274,5
153,213,93,3,20,63,240,15
154,190,92,4,16,67,254,10
155,167,96,7,10,59,256,13
156,188,106,7,14,76,252,5
157,194,109,8,2,73,254,16
158,220,114,7,9,61,222,4
159,177,79,7,9,61,231,10
160,178,86,8,21,60,251,8
161,202,95,5,29,61,268,12
162,185,93,5,11,67,263,23
163,216,108,10,14,62,281,14
164,236,119,9,15,64,256,12
165,231,109,8,16,42,275,10
166,177,93,8,12,16,281,2
167,234,106,4,17,46,301,9
168,195,97,4,10,48,263,12
169,191,124,10,13,40,264,9
170,188,87,6,12,56,297,13
171,232,120,9,8,29,253,10
172,317,109,6,7,32,224,13
173,214,108,4,13,46,284,8
174,198,79,,10,62,248,11
175,181,104,4,9,59,261,10
176,190,111,5,10,87,269,5
177,199,104,6,5,50,277,8
178,193,112,8,6,45,242,11
179,262,125,8,8,41,243,13
180,192,93,7,8,65,253,14
181,190,97,,12,63,260,9
182,175,106,11,8,68,283,10
183,174,111,5,10,63,235,12
184,189,97,5,9,67,279,7
185,241,164,12,14,50,263,10
186,299,128,5,8,64,269,22
187,200,100,6,7,55,247,5
188,162,105,2,7,56,253,9
189,150,99,6,10,63,258,9
190,151,102,4,9,49,237,15
191,149,97,3,6,60,279,6
192,231,117,8,5,65,254,11
193,243,109,5,5,62,249,15
194,181,116,2,4,55,262,14
195,168,80,5,12,56,266,14
196,174,110,4,16,60,282,10
197,148,104,4,8,38,241,10
198,177,108,9,13,69,303,11
199,243,96,6,13,47,262,9
200,242,103,8,6,37,256,18
201,190,102,9,6,55,290,8
202,200,97,5,15,51,272,17
203,197,94,5,13,60,262,14
204,196,112,4,15,58,291,15
205,198,127,8,20,58,323,10
206,232,123,8,12,47,289,12
207,253,118,11,7,55,257,12
208,210,121,3,8,48,306,16
209,201,103,4,12,48,275,13
210,197,107,7,8,57,262,11
211,195,103,4,8,58,264,11
212,197,96,5,12,47,278,15
213,235,126,19,15,61,368,11
214,245,103,11,10,63,279,12
215,182,105,1,6,50,251,9
216,201,92,2,6,72,267,6
217,182,100,2,17,68,266,11
218,186,104,6,12,69,296,10
219,212,103,12,11,57,300,10
220,239,122,3,4,57,289,8
221,220,102,5,8,65,245,12
222,213,107,3,6,56,292,6
223,194,98,7,20,61,263,12
224,193,84,2,11,77,273,12
225,222,89,6,10,57,265,8
226,189,107,8,16,54,304,7
227,227,124,9,19,46,286,2
228,282,131,7,13,55,284,13
229,185,101,4,9,47,261,13
230,179,91,7,14,56,285,11
231,189,106,3,13,68,276,10
232,162,93,3,23,60,310,10
233,188,104,6,18,79,323,9
234,239,129,4,8,57,280,16
235,238,105,9,9,66,263,11
236,167,106,2,8,63,254,12
237,170,95,5,8,52,295,14
238,147,112,4,13,59,288,17
239,151,91,5,9,59,301,13
240,167,107,7,4,66,317,7
241,218,115,2,9,64,242,9
242,209,119,5,10,63,273,7
243,176,92,2,9,64,268,9
244,198,105,12,23,65,299,13
245,171,107,2,17,72,284,7
246,212,100,2,15,70,336,9
247,178,100,6,10,61,295,13
248,213,106,6,11,57,273,13
249,253,117,7,9,70,262,7
250,228,113,7,12,72,257,13
251,160,86,4,10,50,270,6
252,162,100,5,8,60,254,8
253,152,89,1,4,49,251,12
254,149,94,6,6,57,240,7
255,198,99,6,15,45,235,7
256,218,123,5,8,48,238,13
257,199,94,4,11,56,306,6
258,175,103,6,8,56,293,12
259,192,82,3,6,74,287,9
260,186,73,5,16,55,270,12
261,174,113,7,7,41,297,12
262,215,97,6,5,73,279,10
263,248,97,2,6,62,264,14
264,201,82,4,9,64,253,16
265,192,100,8,11,65,257,12
266,202,110,7,9,78,292,10
267,180,94,4,6,57,263,9
268,203,110,3,12,68,275,9
269,227,121,4,8,57,267,9
270,231,111,10,14,71,263,12
